Manufacturer,Model,Efficiency Rating,Noise Rating,Total Score,Relative Performance,Average Efficiency [%],Average Efficiency (20-80W) [%],Efficiency 2% [%],Avg Noise Output [dB(A)],Report Date,Report_links,Report
Aresgame,AGS750,BRONZE,Standard,61.2587,64.54,84.078,73.811,58.314,42.93,2021-09-16,['https://www.cybenetics.com/evaluations/psus/1906/'],
Aresgame,AGS850,BRONZE,Standard,59.8624,63.07,83.900,72.976,59.704,42.44,2021-09-15,['https://www.cybenetics.com/evaluations/psus/1905/'],
Aresgame,AGT1000,PLATINUM,Standard,75.5412,79.59,89.140,78.567,67.793,40.45,2023-07-25,['https://www.cybenetics.com/evaluations/psus/2215/'],
Aresgame,AGT1300,PLATINUM,Standard,78.5911,82.80,89.122,75.792,68.595,43.37,2023-07-24,['https://www.cybenetics.com/evaluations/psus/2214/'],
Aresgame,AGV500,,Standard+,54.3513,57.27,80.654,78.083,61.128,37.18,2021-09-21,['https://www.cybenetics.com/evaluations/psus/1908/'],
Aresgame,AGV650,,Standard+,57.6132,60.70,82.868,78.425,65.761,39.13,2021-09-21,['https://www.cybenetics.com/evaluations/psus/1907/'],
Aresgame,GL850 SFX,PLATINUM,Standard+,81.9453,86.34,89.726,82.713,70.101,36.10,2023-07-19,['https://www.cybenetics.com/evaluations/psus/2212/'],
ASRock,Phantom Gaming PG-1000G (ATX v3.1),GOLD,A,84.7139,89.26,88.981,76.979,-,20.51,2024-12-27,['https://www.cybenetics.com/evaluations/psus/2695/'],
ASRock,Phantom Gaming PG-1300G (ATX v3.1),PLATINUM,A,89.2273,94.01,90.106,74.138,65.665,23.39,2024-10-25,['https://www.cybenetics.com/evaluations/psus/2621/'],
ASRock,Phantom Gaming PG-1600G (ATX v3.1),PLATINUM,A,89.0827,93.86,90.079,73.388,-,20.20,2025-02-18,['https://www.cybenetics.com/evaluations/psus/2746/'],
ASRock,Phantom Gaming PG-750G (ATX v3.1),PLATINUM,A,85.8302,90.43,89.700,82.441,-,20.52,2025-02-21,['https://www.cybenetics.com/evaluations/psus/2751/'],
ASRock,Phantom Gaming PG-850G (ATX v3.1),PLATINUM,A+,83.5784,88.06,89.197,80.882,-,19.62,2025-01-14,['https://www.cybenetics.com/evaluations/psus/2708/'],
ASRock,Steel Legend SL-1000G / SL-1000GW,PLATINUM,A,84.5683,89.10,90.065,82.519,72.897,21.99,2024-08-20,['https://www.cybenetics.com/evaluations/psus/2542/'],
ASRock,Steel Legend SL-650G,PLATINUM,A+,79.9887,84.28,89.831,84.529,69.499,17.28,2024-12-06,['https://www.cybenetics.com/evaluations/psus/2673/'],
ASRock,Steel Legend SL-750G,PLATINUM,A+,82.2460,86.66,90.084,83.050,69.147,18.76,2024-12-03,['https://www.cybenetics.com/evaluations/psus/2669/'],
ASRock,Steel Legend SL-850G / SL-850GW,PLATINUM,A+,84.0400,88.55,89.823,82.846,70.773,18.27,2024-08-24,['https://www.cybenetics.com/evaluations/psus/2548/'],
ASRock,Taichi TC-1300T (ATXv3.1),TITANIUM,A++,90.4055,95.25,91.641,76.031,67.886,14.23,2024-10-25,['https://www.cybenetics.com/evaluations/psus/2623/'],
ASRock,Taichi TC-1650T (ATX v3.1),TITANIUM,A+,93.0472,98.04,91.629,74.140,-,17.94,2025-02-11,['https://www.cybenetics.com/evaluations/psus/2737/'],
Asus,ROG THOR 1600W Titanium III (2024),TITANIUM,A+,90.2820,95.12,91.842,78.612,73.424,18.23,2024-08-01,['https://www.cybenetics.com/evaluations/psus/2523/'],
Asus,ROG-LOKI-1000P-SFX-L-GAMING,PLATINUM,A,86.8761,91.53,90.243,82.147,72.122,22.56,2022-09-23,['https://www.cybenetics.com/evaluations/psus/2069/'],
Asus,ROG-LOKI-1200T-SFX-L-GAMING,TITANIUM,Standard++,88.9843,93.75,91.759,83.891,78.675,34.14,2023-09-21,['https://www.cybenetics.com/evaluations/psus/2242/'],
Asus,ROG-LOKI-750P-SFX-L-GAMING,PLATINUM,A+,84.9712,89.53,90.554,84.568,71.487,18.87,2022-08-26,['https://www.cybenetics.com/evaluations/psus/2053/'],
Asus,ROG-LOKI-850P-SFX-L-GAMING,PLATINUM,A,86.3023,90.93,90.306,83.760,72.591,23.76,2022-07-22,['https://www.cybenetics.com/evaluations/psus/2045/'],
Asus,ROG-STRIX-1000G-AURA-GAMING,GOLD,A+,88.3456,93.08,88.528,80.265,74.077,16.95,2022-07-18,['https://www.cybenetics.com/evaluations/psus/2042/'],
Asus,ROG-STRIX-1000P-GAMING,PLATINUM,A+,89.7427,94.55,90.363,84.178,-,18.09,2025-03-05,['https://www.cybenetics.com/evaluations/psus/2759/'],
Asus,ROG-STRIX-1200G-AURA-GAMING,GOLD,A+,85.8234,90.42,88.134,79.782,74.025,17.84,2022-12-13,['https://www.cybenetics.com/evaluations/psus/2100/'],
Asus,ROG-STRIX-1200P-GAMING,PLATINUM,A,85.1452,89.71,90.016,81.912,74.747,23.17,2024-09-10,['https://www.cybenetics.com/evaluations/psus/2564/'],
Asus,ROG-STRIX-650G,GOLD,A,81.2625,85.62,88.856,80.326,61.197,21.29,2019-04-09,['https://www.cybenetics.com/evaluations/psus/808/'],
Asus,ROG-STRIX-750G (#1),PLATINUM,A,81.9713,86.37,89.066,80.379,62.528,21.93,2019-08-30,['https://www.cybenetics.com/evaluations/psus/807/'],
Asus,ROG-STRIX-750G (#2),GOLD,A,81.5199,85.89,88.701,79.957,63.507,21.71,2020-02-05,['https://www.cybenetics.com/evaluations/psus/1594/'],
Asus,ROG-STRIX-750G-AURA-GAMING,GOLD,A++,85.5866,90.17,88.281,83.070,75.973,12.34,2022-08-05,['https://www.cybenetics.com/evaluations/psus/2052/'],
Asus,ROG-STRIX-850G-AURA-GAMING,GOLD,A++,86.9043,91.56,88.842,82.286,75.079,14.69,2022-07-29,['https://www.cybenetics.com/evaluations/psus/2048/'],
Asus,ROG-THOR-1000P2-GAMING,PLATINUM,A++,85.6427,90.23,89.879,76.602,63.468,11.39,2021-05-11,['https://www.cybenetics.com/evaluations/psus/1844/'],
Asus,ROG-THOR-1000P3-GAMING,PLATINUM,A++,87.4360,92.12,90.872,79.410,-,13.18,2025-04-15,['https://www.cybenetics.com/evaluations/psus/2787/'],
Asus,ROG-THOR-1200P (#1),PLATINUM,A+,85.5214,90.11,89.868,74.179,64.175,15.58,2018-02-05,['https://www.cybenetics.com/evaluations/psus/444/'],
Asus,ROG-THOR-1200P (#2),PLATINUM,A+,86.7032,91.35,89.536,72.966,62.459,16.06,2018-02-06,['https://www.cybenetics.com/evaluations/psus/445/'],
Asus,ROG-THOR-1200P (#3),PLATINUM,A+,85.4663,90.05,89.895,73.866,65.055,17.45,2018-10-14,['https://www.cybenetics.com/evaluations/psus/503/'],
Asus,ROG-THOR-1200P (#4),PLATINUM,A+,86.3898,91.02,89.445,73.105,73.105,16.41,2019-03-31,['https://www.cybenetics.com/evaluations/psus/620/'],
Asus,ROG-THOR-1200P2-GAMING,PLATINUM,A++,85.4773,90.06,89.225,74.596,62.663,14.75,2021-07-20,['https://www.cybenetics.com/evaluations/psus/1876/'],
Asus,ROG-THOR-1200P3-GAMING,PLATINUM,A++,88.7280,93.48,90.809,76.059,-,10.50,2025-04-10,['https://www.cybenetics.com/evaluations/psus/2783/'],
Asus,ROG-THOR-1600T-GAMING,TITANIUM,A++,91.5495,96.46,91.726,78.151,73.817,13.95,2021-08-31,['https://www.cybenetics.com/evaluations/psus/1891/'],
Asus,ROG-THOR-850P (#1),PLATINUM,A+,85.7904,90.39,89.966,78.696,63.199,15.58,2018-08-06,['https://www.cybenetics.com/evaluations/psus/448/'],
Asus,ROG-THOR-850P2-GAMING (#3),PLATINUM,A++,84.0334,88.54,89.594,80.371,66.166,13.66,2021-09-23,['https://www.cybenetics.com/evaluations/psus/1910/'],
Asus,TUF-450B-GAMING,SILVER,Standard++,71.5181,75.35,85.959,82.908,63.422,30.66,2020-09-09,['https://www.cybenetics.com/evaluations/psus/1712/'],
Asus,TUF-450B-GAMING (#2),SILVER,A-,72.0419,75.90,85.738,83.407,64.499,27.56,2022-11-02,['https://www.cybenetics.com/evaluations/psus/2086/'],
Asus,TUF-550B-GAMING,SILVER,Standard+,72.2221,76.09,85.785,81.928,62.823,35.34,2020-09-09,['https://www.cybenetics.com/evaluations/psus/1709/'],
Asus,TUF-550B-GAMING (#2),SILVER,Standard++,70.9164,74.72,86.057,82.529,62.671,31.34,2022-11-03,['https://www.cybenetics.com/evaluations/psus/2085/'],
Asus,TUF-650B-GAMING,GOLD,Standard++,72.8828,76.79,87.131,82.217,67.284,32.23,2020-09-03,['https://www.cybenetics.com/evaluations/psus/1708/'],
Asus,TUF-750B-GAMING,SILVER,Standard+,75.4204,79.46,86.729,80.040,66.382,37.97,2020-09-02,['https://www.cybenetics.com/evaluations/psus/1707/'],
be quiet!,Dark Power 12 750W,TITANIUM,A+,85.5512,90.14,92.078,85.939,71.620,18.92,2021-03-29,['https://www.cybenetics.com/evaluations/psus/1821/'],
be quiet!,Dark Power 12 850W,TITANIUM,A+,83.6932,88.18,91.724,84.982,72.475,18.49,2021-03-30,['https://www.cybenetics.com/evaluations/psus/1819/'],
be quiet!,Dark Power 13 1000W,TITANIUM,A+,84.9834,89.54,91.342,84.444,74.720,17.93,2023-03-22,['https://www.cybenetics.com/evaluations/psus/2156/'],
be quiet!,Dark Power 13 850W,TITANIUM,A++,84.3848,88.91,92.087,83.505,72.474,14.53,2023-03-03,['https://www.cybenetics.com/evaluations/psus/2146/'],
be quiet!,Dark Power Pro 12 1200W,TITANIUM,A+,88.4478,93.19,91.110,76.567,64.562,16.48,2021-02-17,['https://www.cybenetics.com/evaluations/psus/1794/'],
be quiet!,Dark Power Pro 12 1500W,TITANIUM,A-,87.9095,92.62,91.042,78.493,69.808,27.78,2020-09-18,['https://www.cybenetics.com/evaluations/psus/1718/'],
be quiet!,Power Zone 2 1000W,PLATINUM,A+,84.1296,88.64,90.180,80.035,-,19.66,2024-12-10,['https://www.cybenetics.com/evaluations/psus/2676/'],
be quiet!,Power Zone 2 750W,PLATINUM,A++,82.3863,86.80,90.237,82.327,-,11.29,2024-12-18,['https://www.cybenetics.com/evaluations/psus/2681/'],
be quiet!,Power Zone 2 850W,PLATINUM,A+,83.0020,87.45,90.402,82.566,-,19.84,2024-12-13,['https://www.cybenetics.com/evaluations/psus/2679/'],
Be quiet!,Pure Power 10 500W,GOLD,A,69.9929,73.75,87.174,81.727,-,20.46,2018-05-25,['https://www.cybenetics.com/evaluations/psus/115/'],
Be quiet!,Pure Power 10 600W,SILVER,A+,70.5154,74.30,86.954,79.399,-,19.64,2018-05-16,['https://www.cybenetics.com/evaluations/psus/112/'],
be quiet!,Pure Power 10 700W,GOLD,A,69.0453,72.75,87.694,78.444,59.221,20.82,2019-04-25,['https://www.cybenetics.com/evaluations/psus/680/'],
Be quiet!,Pure Power 11 700W,GOLD,A+,72.1332,76.00,88.620,81.436,62.659,17.09,2018-01-09,['https://www.cybenetics.com/evaluations/psus/528/'],
be quiet!,Pure Power 11 FM 1000W,GOLD,Standard++,83.2586,87.72,88.846,81.237,74.828,30.99,2022-03-09,['https://www.cybenetics.com/evaluations/psus/1987/'],
be quiet!,Pure Power 11 FM 550W,GOLD,A,84.4683,89.00,88.895,83.197,71.684,21.77,2021-02-23,['https://www.cybenetics.com/evaluations/psus/1797/'],
be quiet!,Pure Power 11 FM 650W,GOLD,A,85.0816,89.64,88.766,82.534,71.820,21.21,2021-02-22,['https://www.cybenetics.com/evaluations/psus/1796/'],
be quiet!,Pure Power 11 FM 750W,GOLD,A,84.9467,89.50,88.862,82.218,73.780,24.16,2021-02-22,['https://www.cybenetics.com/evaluations/psus/1795/'],
be quiet!,Pure Power 11 FM 850W,PLATINUM,A-,82.2808,86.69,89.094,82.056,74.002,28.98,2022-03-08,['https://www.cybenetics.com/evaluations/psus/1988/'],
be quiet!,Pure Power 12 M 1000W,PLATINUM,Standard++,84.8747,89.42,89.674,83.106,78.400,30.47,2023-03-24,['https://www.cybenetics.com/evaluations/psus/2159/'],
be quiet!,Pure Power 12 M 850W,PLATINUM,A-,84.2361,88.75,89.807,84.167,76.310,25.03,2023-03-22,['https://www.cybenetics.com/evaluations/psus/2157/'],
be quiet!,SFX L Power 500W,GOLD,A,72.8508,76.76,88.280,79.617,-,23.91,2018-01-05,['https://www.cybenetics.com/evaluations/psus/152/'],
be quiet!,SFX L Power 600W,GOLD,A-,73.0784,77.00,88.839,78.865,-,25.49,2018-07-21,['https://www.cybenetics.com/evaluations/psus/144/'],
be quiet!,Straight Power 11 1000W,GOLD,Standard++,78.4461,82.65,88.470,76.509,-,34.02,2018-01-21,['https://www.cybenetics.com/evaluations/psus/277/'],
Be quiet!,Straight Power 11 550W,GOLD,A++,77.2514,81.39,88.981,83.872,-,13.54,2018-01-23,['https://www.cybenetics.com/evaluations/psus/281/'],
be quiet!,Straight Power 11 850W,PLATINUM,A,78.8241,83.05,89.250,79.834,-,23.24,2018-01-20,['https://www.cybenetics.com/evaluations/psus/279/'],
be quiet!,Straight Power 11 Platinum 550W,PLATINUM,A++,79.8950,84.18,90.147,82.813,61.973,9.18,2020-03-17,['https://www.cybenetics.com/evaluations/psus/1622/'],
be quiet!,Straight Power 11 Platinum 650W,PLATINUM,A+,80.4435,84.76,90.106,83.105,66.777,15.32,2020-03-12,['https://www.cybenetics.com/evaluations/psus/1621/'],
be quiet!,System Power U9 400W,BRONZE,A,72.1333,76.00,84.500,81.454,63.501,20.85,2018-03-07,['https://www.cybenetics.com/evaluations/psus/535/'],
be quiet!,System Power U9 500W,SILVER,A,74.1527,78.13,84.995,80.115,60.101,21.80,2018-11-07,['https://www.cybenetics.com/evaluations/psus/498/'],
be quiet!,System Power U9 500W (#2),BRONZE,A,71.2439,75.06,84.975,80.163,60.641,20.90,2018-10-23,['https://www.cybenetics.com/evaluations/psus/512/'],
be quiet!,System Power U9 600W,BRONZE,A,72.1236,75.99,84.915,79.339,63.374,22.17,2018-07-25,['https://www.cybenetics.com/evaluations/psus/439/'],
be quiet!,System Power U9 600W (#2),SILVER,A,71.1616,74.98,85.087,79.817,64.900,22.54,2018-10-14,['https://www.cybenetics.com/evaluations/psus/502/'],
be quiet!,System Power U9 700W,SILVER,A,70.5881,74.37,85.378,78.175,60.752,22.66,2018-07-23,['https://www.cybenetics.com/evaluations/psus/438/'],
be quiet!,System Power U9 700W (#2),SILVER,A,71.0765,74.89,85.291,77.848,60.816,20.45,2018-10-13,['https://www.cybenetics.com/evaluations/psus/501/'],
Bitfenix,Formula Gold 450W,GOLD,A++,73.5977,77.54,88.770,83.165,-,10.30,2018-08-11,['https://www.cybenetics.com/evaluations/psus/159/'],
Bitfenix,Formula Gold 450W (#2),PLATINUM,A++,76.5926,80.70,89.130,82.449,-,10.32,2018-10-23,['https://www.cybenetics.com/evaluations/psus/204/'],
BitFenix,Formula Gold 550W,PLATINUM,A++,75.1354,79.16,89.151,83.186,-,10.75,2018-10-05,['https://www.cybenetics.com/evaluations/psus/158/'],
Bitfenix,Formula Gold 550W (#2),PLATINUM,A++,77.1909,81.33,89.576,82.879,-,10.76,2018-10-24,['https://www.cybenetics.com/evaluations/psus/203/'],
Bitfenix,Formula Gold 650W,GOLD,A+,75.8980,79.97,88.674,82.229,-,15.55,2018-09-05,['https://www.cybenetics.com/evaluations/psus/157/'],
Bitfenix,Formula Gold 650W (#2),PLATINUM,A+,79.2664,83.52,89.555,81.722,-,15.94,2018-06-09,['https://www.cybenetics.com/evaluations/psus/210/'],
Bitfenix,Formula Gold 750W,GOLD,A+,73.2071,77.13,88.680,81.392,-,17.48,2018-08-06,['https://www.cybenetics.com/evaluations/psus/156/'],
Bitfenix,Formula Gold 750W (#2),PLATINUM,A+,78.9027,83.13,89.168,80.519,-,18.20,2018-10-21,['https://www.cybenetics.com/evaluations/psus/201/'],
BitFenix,Whisper 450W,GOLD,A++,72.9664,76.88,88.669,83.932,-,11.63,2018-06-05,['https://www.cybenetics.com/evaluations/psus/138/'],
Bitfenix,Whisper 550W,GOLD,A+,75.1722,79.20,88.803,83.636,-,15.37,2018-04-04,['https://www.cybenetics.com/evaluations/psus/137/'],
BitFenix,Whisper 650W,GOLD,Standard++,76.4431,80.54,88.637,82.430,-,31.12,2018-03-04,['https://www.cybenetics.com/evaluations/psus/136/'],
Bitfenix,Whisper 750W,GOLD,Standard+,78.7911,83.02,88.790,81.832,-,36.03,2018-03-03,['https://www.cybenetics.com/evaluations/psus/135/'],
Bitfenix,Whisper 750W (#2),PLATINUM,A-,81.5894,85.96,89.296,81.466,-,28.61,2018-10-27,['https://www.cybenetics.com/evaluations/psus/205/'],
Bitfenix,Whisper 850W,PLATINUM,Standard++,78.0938,82.28,89.042,81.342,-,31.36,2018-09-04,['https://www.cybenetics.com/evaluations/psus/122/'],
Casecom,650W,BRONZE,Standard++,74.3736,78.36,84.735,77.688,60.044,33.96,2021-03-05,['https://www.cybenetics.com/evaluations/psus/1805/'],
Casecom,850W,GOLD,Standard+,81.7820,86.17,88.485,77.188,61.616,37.16,2021-03-03,['https://www.cybenetics.com/evaluations/psus/1803/'],
Casecom,CK-A500,BRONZE,Standard++,60.1192,63.34,82.371,77.101,59.440,34.56,2018-08-17,['https://www.cybenetics.com/evaluations/psus/461/'],
Casecom,CK-A500 (#2),BRONZE,Standard++,62.2145,65.55,82.415,77.066,58.384,33.90,2018-08-17,['https://www.cybenetics.com/evaluations/psus/462/'],
Channel Well Technology,CSB650V-B,SILVER,A-,63.9131,67.34,85.076,76.518,58.312,26.67,2018-08-17,['https://www.cybenetics.com/evaluations/psus/457/'],
Channel Well Technology,CSB650V-B (#2),SILVER,A-,62.6926,66.05,85.308,77.644,59.383,29.40,2018-08-17,['https://www.cybenetics.com/evaluations/psus/458/'],
Channel Well Technology,CSX 850M-G,GOLD,Standard+,81.8652,86.25,88.590,80.035,70.895,37.48,2022-07-19,['https://www.cybenetics.com/evaluations/psus/2043/'],
Channel Well Technology,GPT500S-A,BRONZE,A+,62.8720,66.24,84.590,79.861,59.682,19.89,2018-08-23,['https://www.cybenetics.com/evaluations/psus/468/'],
Channel Well Technology,GPU850V-G,PLATINUM,A-,80.4836,84.80,89.282,81.461,69.134,28.21,2018-08-18,['https://www.cybenetics.com/evaluations/psus/459/'],
Channel Well Technology,GPU850V-G (#2),PLATINUM,A-,80.4452,84.76,89.344,81.414,68.445,25.68,2018-08-19,['https://www.cybenetics.com/evaluations/psus/460/'],
Chieftec,Polaris 1050W,PLATINUM,Standard+,79.0134,83.25,89.573,80.646,71.310,37.42,2021-07-28,['https://www.cybenetics.com/evaluations/psus/1878/'],
Chieftec,Polaris 750W,GOLD,Standard++,75.6757,79.73,88.794,78.762,50.646,31.84,2020-03-23,['https://www.cybenetics.com/evaluations/psus/1628/'],
Chieftec,Proton 600W,SILVER,Standard+,60.6745,63.93,85.007,77.020,57.197,35.35,2020-07-08,['https://www.cybenetics.com/evaluations/psus/1677/'],
Chieftronic,Power Up 850W,GOLD,A,80.7072,85.03,88.491,79.656,65.640,20.67,2020-12-03,['https://www.cybenetics.com/evaluations/psus/1763/'],
Chieftronic,PowerPlay 1050W,PLATINUM,Standard+,85.5163,90.10,89.659,76.694,60.492,35.06,2020-03-20,['https://www.cybenetics.com/evaluations/psus/1627/'],
Chieftronic,PowerPlay 750W,PLATINUM,A-,80.4138,84.72,89.319,83.089,69.150,29.16,2020-06-30,['https://www.cybenetics.com/evaluations/psus/1671/'],
Chieftronic,SteelPower 750W,SILVER,Standard+,68.1998,71.86,85.293,75.709,60.853,36.39,2021-10-21,['https://www.cybenetics.com/evaluations/psus/1922/'],
Cooler Master,G500 Gold,GOLD,Standard++,66.7930,70.37,87.160,79.871,53.913,30.78,2021-07-28,['https://www.cybenetics.com/evaluations/psus/1881/'],
Cooler Master,G600 Gold,GOLD,Standard+,73.6821,77.63,87.645,78.831,56.662,38.61,2021-07-28,['https://www.cybenetics.com/evaluations/psus/1882/'],
Cooler Master,G700 Gold,GOLD,Standard+,73.2183,77.14,88.145,78.830,60.920,37.67,2021-07-28,['https://www.cybenetics.com/evaluations/psus/1880/'],
Cooler Master,G800 Gold,GOLD,Standard,68.0004,71.65,87.484,77.487,60.182,43.23,2021-07-31,['https://www.cybenetics.com/evaluations/psus/1883/'],
Cooler Master,GX II 850 GOLD (MWE Gold 850 V3),PLATINUM,A,78.9050,83.14,89.579,87.937,82.480,22.87,2024-06-17,['https://www.cybenetics.com/evaluations/psus/2478/'],
Cooler Master,GX III 1050 Gold,PLATINUM,A-,85.0794,89.64,89.713,82.526,77.523,26.75,2024-04-26,['https://www.cybenetics.com/evaluations/psus/2428/'],
Cooler Master,GX III 650 Gold,PLATINUM,A,80.0501,84.34,89.193,87.297,78.377,24.47,2024-06-20,['https://www.cybenetics.com/evaluations/psus/2482/'],
Cooler Master,GX III 750 Gold,PLATINUM,A-,80.5058,84.82,89.904,87.367,79.730,29.52,2024-05-03,['https://www.cybenetics.com/evaluations/psus/2433/'],
Cooler Master,GX III 850 Gold,PLATINUM,A-,81.6630,86.04,89.605,87.101,80.130,26.28,2024-07-15,['https://www.cybenetics.com/evaluations/psus/2508/'],
Cooler Master,GXII 750W (ATX v3.1) (MWE Gold 750 V3),PLATINUM,A,78.0162,82.20,89.246,87.547,80.816,24.27,2024-07-22,['https://www.cybenetics.com/evaluations/psus/2512/'],
Cooler Master,MasterWatt Maker 1200W MIJ,BRONZE,A++,81.4157,85.78,91.243,81.740,-,-,2018-07-02,['https://www.cybenetics.com/evaluations/psus/85/'],
Cooler Master,MWE Bronze 450,BRONZE,A-,60.2815,63.51,84.602,83.269,71.924,27.85,2019-12-06,['https://www.cybenetics.com/evaluations/psus/730/'],
Cooler Master,MWE Bronze 500,SILVER,Standard++,66.8163,70.40,85.601,82.188,68.580,30.07,2019-11-06,['https://www.cybenetics.com/evaluations/psus/729/'],
Cooler Master,MWE Bronze 550,SILVER,A-,68.1555,71.81,85.897,78.985,70.319,25.27,2019-10-06,['https://www.cybenetics.com/evaluations/psus/728/'],
Cooler Master,MWE Bronze 600,SILVER,Standard+,68.0805,71.73,85.801,81.250,72.047,38.02,2019-06-06,['https://www.cybenetics.com/evaluations/psus/727/'],
Cooler Master,MWE Bronze 650,SILVER,Standard+,71.2203,75.04,86.077,79.459,72.353,38.27,2019-05-21,['https://www.cybenetics.com/evaluations/psus/726/'],
Cooler Master,MWE Bronze 700,SILVER,Standard+,69.9249,73.67,86.201,78.096,73.656,38.63,2019-05-17,['https://www.cybenetics.com/evaluations/psus/725/'],
